2017.326027
   Z       E         F
   1  1.000E-02  1.484E+03
   1  1.150E-02  1.679E+03
   1  1.322E-02  1.895E+03
   1  1.520E-02  2.133E+03
   1  1.748E-02  2.395E+03
   1  2.009E-02  2.679E+03
   1  2.310E-02  2.986E+03
   1  2.656E-02  3.316E+03
   1  3.054E-02  3.665E+03
   1  3.511E-02  4.030E+03
   1  4.037E-02  4.407E+03
   1  4.642E-02  4.791E+03
   1  5.337E-02  5.173E+03
   1  6.136E-02  5.546E+03
   1  7.055E-02  5.899E+03
   1  8.111E-02  6.221E+03
   1  9.326E-02  6.503E+03
   1  1.072E-01  6.732E+03
   1  1.233E-01  6.901E+03
   1  1.417E-01  6.997E+03
   1  1.630E-01  7.017E+03
   1  1.874E-01  6.955E+03
   1  2.154E-01  6.812E+03
   1  2.477E-01  6.589E+03
   1  2.848E-01  6.292E+03
   1  3.275E-01  5.930E+03
   1  3.765E-01  5.516E+03
   1  4.329E-01  5.060E+03
   1  4.977E-01  4.579E+03
   1  5.722E-01  4.086E+03
   1  6.579E-01  3.595E+03
   1  7.565E-01  3.118E+03
   1  8.697E-01  2.667E+03
   1  1.000E+00  2.249E+03
   1  1.150E+00  1.869E+03
   1  1.322E+00  1.533E+03
   1  1.520E+00  1.241E+03
   1  1.748E+00  9.903E+02
   1  2.009E+00  7.814E+02
   1  2.310E+00  6.086E+02
   1  2.656E+00  4.686E+02
   1  3.054E+00  3.567E+02
   1  3.511E+00  2.689E+02
   1  4.037E+00  2.007E+02
   1  4.642E+00  1.484E+02
   1  5.337E+00  1.088E+02
   1  6.136E+00  7.922E+01
   1  7.055E+00  5.726E+01
   1  8.111E+00  4.113E+01
   1  9.326E+00  2.936E+01
   1  1.072E+01  2.087E+01
   1  1.233E+01  1.474E+01
   1  1.417E+01  1.039E+01
   1  1.630E+01  7.276E+00
   1  1.874E+01  5.087E+00
   1  2.154E+01  3.548E+00
   1  2.477E+01  2.465E+00
   1  2.848E+01  1.710E+00
   1  3.275E+01  1.183E+00
   1  3.765E+01  8.174E-01
   1  4.329E+01  5.637E-01
   1  4.977E+01  3.884E-01
   1  5.722E+01  2.672E-01
   1  6.579E+01  1.836E-01
   1  7.565E+01  1.261E-01
   1  8.697E+01  8.651E-02
   1  1.000E+02  5.930E-02
   1  1.150E+02  4.060E-02
   1  1.322E+02  2.781E-02
   1  1.520E+02  1.904E-02
   1  1.748E+02  1.302E-02
   1  2.009E+02  8.911E-03
   1  2.310E+02  6.092E-03
   1  2.656E+02  4.163E-03
   1  3.054E+02  2.844E-03
   1  3.511E+02  1.944E-03
   1  4.037E+02  1.328E-03
   1  4.642E+02  9.064E-04
   1  5.337E+02  6.190E-04
   1  6.136E+02  4.227E-04
   1  7.055E+02  2.886E-04
   1  8.111E+02  1.970E-04
   1  9.326E+02  1.345E-04
   1  1.072E+03  9.186E-05
   1  1.233E+03  6.263E-05
   1  1.417E+03  4.280E-05
   1  1.630E+03  2.917E-05
   1  1.874E+03  1.991E-05
   1  2.154E+03  1.360E-05
   1  2.477E+03  9.273E-06
   1  2.848E+03  6.327E-06
   1  3.275E+03  4.316E-06
   1  3.765E+03  2.946E-06
   1  4.329E+03  2.010E-06
   1  4.977E+03  1.371E-06
   1  5.722E+03  9.359E-07
   1  6.579E+03  6.386E-07
   1  7.565E+03  4.356E-07
